Miasto,Nazwa,Długość (km),Trudność,Typ terenu,Kategoria,Indeks komfortu,Wynik ważony,Szacowany czas
Gdańsk,Szlak Ósmego Widoku,2.3,1/3,mixed,RODZINNA,91.4/100,67.6/100,34min
Gdańsk,Łącznik fioletowy TPK,2.1,1/3,mixed,RODZINNA,91.4/100,67.2/100,31min
Gdańsk,Łącznik Fioletowy TPK,0.8,1/3,mixed,RODZINNA,91.4/100,64.6/100,12min
Gdańsk,Wisła,1.047,1/3,riverside,RODZINNA,91.4/100,64.59/100,15min
Gdańsk,Szlak Wzgórz Szymbarskich,0.126,1/3,mixed,RODZINNA,91.4/100,63.25/100,1min
Warszawa,Rezerwat Park Natoliński - Latoszki,4.5,1/3,mixed,RODZINNA,100.0/100,72.0/100,1h 7min
Warszawa,"Ścieżka biegowa ""Las Sobieskiego""",3.5,1/3,mixed,RODZINNA,100.0/100,70.0/100,52min
Warszawa,"Ścieżka biegowa ""Falenica""",3.3,1/3,mixed,RODZINNA,100.0/100,69.6/100,49min
Warszawa,Łącznik Falenicki,3.0,1/3,mixed,RODZINNA,100.0/100,69.0/100,45min
Warszawa,"Ścieżka biegowa ""Lucerny""",1.25,1/3,mixed,RODZINNA,100.0/100,65.5/100,18min
Warszawa,Wisła,1.047,1/3,riverside,RODZINNA,100.0/100,64.59/100,15min
Kraków,Błonia,3.0,1/3,mixed,RODZINNA,100.0/100,69.0/100,45min
Kraków,Wisła,1.047,1/3,riverside,RODZINNA,100.0/100,64.59/100,15min
Kraków,Szlak Orlich Gniazd,0.16390000000000002,1/3,mixed,RODZINNA,100.0/100,63.33/100,2min
Wrocław,Grabiszynka,2.01,1/3,riverside,RODZINNA,95.0/100,66.52/100,30min
Wrocław,Śluza Rędzin II,0.226,1/3,riverside,RODZINNA,95.0/100,62.95/100,3min
Wrocław,Śluza Rędzin I,0.203,1/3,riverside,RODZINNA,95.0/100,62.9/100,3min
Wrocław,Śluza Różanka,0.193,1/3,riverside,RODZINNA,95.0/100,62.88/100,3min
Wrocław,Śluza Bartoszowice,0.18769999999999998,1/3,riverside,RODZINNA,95.0/100,62.87/100,3min
Wrocław,Śluza Zacisze,0.187,1/3,riverside,RODZINNA,95.0/100,62.87/100,3min
